Background Questions,,,,,,,,,,,,,,
All Respondents,_____________   _____________,37.7%,51.2%,32.1%,54.3%,25.9%,88.3%,69.8%,6.2%,14.8%,14.2%,77.2%,1.2%,190
Organization Type,Biotechnology/ Life Science R&D,46.3%,23.2%,28.0%,59.8%,32.9%,81.7%,78.0%,8.5%,14.6%,20.7%,78.0%,2.4%,95
,Biotechnology/ Life Science Service,24.1%,81.0%,34.5%,46.6%,20.7%,96.6%,56.9%,5.2%,15.5%,8.6%,74.1%,0.0%,66
,Other,38.1%,76.2%,42.9%,52.4%,9.5%,90.5%,71.4%,0.0%,14.3%,4.8%,81.0%,0.0%,27
Position,CEO/CFO,29.1%,52.7%,38.2%,58.2%,27.3%,89.1%,69.1%,5.5%,12.7%,16.4%,72.7%,0.0%,68
,"Reg/Mktg,Pub Policy/Comm, HR, Legal",51.7%,44.8%,13.8%,55.2%,17.2%,75.9%,79.3%,0.0%,17.2%,17.2%,72.4%,3.4%,34
,Service Provider,12.5%,81.3%,31.3%,56.3%,18.8%,87.5%,68.8%,0.0%,6.3%,6.3%,68.8%,0.0%,17
,Business Dev Director,28.6%,60.7%,32.1%,39.3%,21.4%,96.4%,57.1%,7.1%,17.9%,14.3%,82.1%,0.0%,32
,Other/Research,58.8%,32.4%,38.2%,58.8%,38.2%,91.2%,73.5%,14.7%,17.6%,11.8%,88.2%,2.9%,38
NJ Employees,Less than 10,28.6%,61.2%,32.7%,49.0%,28.6%,89.8%,69.4%,8.2%,16.3%,2.0%,75.5%,2.0%,58
,10 - 49,39.1%,50.0%,28.3%,58.7%,26.1%,87.0%,67.4%,2.2%,19.6%,30.4%,71.7%,0.0%,52
,50 or More,48.8%,48.8%,37.2%,55.8%,18.6%,90.7%,67.4%,7.0%,16.3%,11.6%,86.0%,2.3%,50
BioNJ Membership,Yes,37.7%,51.2%,32.1%,54.3%,25.9%,88.3%,69.8%,6.2%,14.8%,14.2%,77.2%,1.2%,168
,Former member,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,11
,Never member,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,11
Decision to join organizations like BioNJ,Primary responsibility,29.7%,55.4%,37.8%,55.4%,24.3%,91.9%,73.0%,6.8%,14.9%,16.2%,82.4%,1.4%,85
,Some responsibility,42.1%,56.1%,31.6%,54.4%,29.8%,87.7%,64.9%,5.3%,15.8%,15.8%,71.9%,1.8%,70
,No responsibility,50.0%,33.3%,20.0%,53.3%,23.3%,80.0%,73.3%,6.7%,13.3%,6.7%,76.7%,0.0%,34
Overall Value of BioNJ Membership,Very Valuable/Valuable,45.7%,53.3%,36.2%,61.9%,28.6%,94.3%,79.0%,6.7%,17.1%,16.2%,82.9%,0.0%,108
,Neutral,20.7%,55.2%,27.6%,44.8%,17.2%,79.3%,44.8%,3.4%,10.3%,3.4%,65.5%,0.0%,30
,Not Valuable/Not Valuable At All,0.0%,40.0%,0.0%,0.0%,20.0%,100.0%,20.0%,20.0%,0.0%,0.0%,40.0%,20.0%,5
Overall Satisfaction with BioNJ Programs and Services,Very Satisfied,41.5%,53.7%,36.6%,58.5%,26.8%,97.6%,78.0%,12.2%,14.6%,14.6%,80.5%,0.0%,43
,Satisfied,40.7%,53.5%,36.0%,59.3%,25.6%,91.9%,68.6%,3.5%,18.6%,14.0%,77.9%,1.2%,89
,Neutral,40.0%,33.3%,20.0%,40.0%,13.3%,66.7%,80.0%,0.0%,0.0%,0.0%,73.3%,0.0%,15
,Not Satisfied/ Not Satisfied At All,0.0%,33.3%,0.0%,16.7%,33.3%,100.0%,16.7%,16.7%,0.0%,0.0%,50.0%,16.7%,6
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Q6b Reasons your company renews BioNJ membership (check all that apply) (member),,,,,,,,,,,,,,
,,Government affairs/ regulatory activities,Marketing opportunities,Annual Meeting,Educational events,Member pricing advantages,Networking opportunities,Support the mission of BioNJ,BioNJ Business Solutions Purchasing Program,"BioLines, the BioNJ e-letter",HR/job openings,To participate in advancing/ contributing to the industry,Other,Total
,,,,,,,,,,,,,,Count
All Respondents,_____________   _____________,39.0%,54.2%,32.2%,55.9%,24.6%,79.7%,68.6%,11.0%,25.4%,25.4%,77.1%,1.7%,190
Organization Type,Biotechnology/ Life Science R&D,55.9%,25.4%,28.8%,62.7%,30.5%,74.6%,83.1%,13.6%,27.1%,39.0%,81.4%,1.7%,95
,Biotechnology/ Life Science Service,16.3%,83.7%,39.5%,44.2%,18.6%,88.4%,48.8%,7.0%,25.6%,11.6%,67.4%,2.3%,66
,Other,33.3%,80.0%,26.7%,60.0%,13.3%,73.3%,66.7%,13.3%,20.0%,13.3%,86.7%,0.0%,27
Position,CEO/CFO,27.3%,47.7%,38.6%,56.8%,22.7%,79.5%,72.7%,13.6%,25.0%,27.3%,65.9%,0.0%,68
,"Reg/Mktg,Pub Policy/Comm, HR, Legal",60.9%,43.5%,17.4%,56.5%,13.0%,73.9%,78.3%,0.0%,26.1%,26.1%,87.0%,0.0%,34
,Service Provider,8.3%,83.3%,25.0%,50.0%,8.3%,83.3%,50.0%,0.0%,8.3%,0.0%,66.7%,0.0%,17
,Business Dev Director,31.6%,73.7%,36.8%,47.4%,36.8%,89.5%,52.6%,21.1%,31.6%,26.3%,84.2%,5.3%,32
,Other/Research,65.0%,45.0%,35.0%,65.0%,40.0%,75.0%,75.0%,15.0%,30.0%,35.0%,90.0%,5.0%,38
NJ Employees,Less than 10,27.3%,51.5%,39.4%,51.5%,12.1%,72.7%,63.6%,9.1%,24.2%,6.1%,66.7%,0.0%,58
,10 - 49,37.1%,65.7%,28.6%,54.3%,37.1%,77.1%,57.1%,11.4%,31.4%,42.9%,71.4%,2.9%,52
,50 or More,57.1%,48.6%,34.3%,60.0%,22.9%,88.6%,80.0%,11.4%,25.7%,22.9%,91.4%,2.9%,50
BioNJ Membership,Yes,39.0%,54.2%,32.2%,55.9%,24.6%,79.7%,68.6%,11.0%,25.4%,25.4%,77.1%,1.7%,168
,Former member,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,11
,Never member,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,11
Decision to join organizations like BioNJ,Primary responsibility,32.7%,57.7%,40.4%,57.7%,21.2%,80.8%,71.2%,11.5%,28.8%,25.0%,73.1%,0.0%,85
,Some responsibility,38.6%,63.6%,31.8%,54.5%,31.8%,81.8%,59.1%,15.9%,27.3%,31.8%,79.5%,4.5%,70
,No responsibility,57.1%,28.6%,9.5%,52.4%,19.0%,76.2%,81.0%,0.0%,14.3%,14.3%,81.0%,0.0%,34
Overall Value of BioNJ Membership,Very Valuable/Valuable,43.2%,54.1%,37.8%,64.9%,31.1%,83.8%,78.4%,14.9%,35.1%,29.7%,81.1%,2.7%,108
,Neutral,26.1%,56.5%,26.1%,47.8%,4.3%,73.9%,47.8%,0.0%,8.7%,0.0%,65.2%,0.0%,30
,Not Valuable/Not Valuable At All,0.0%,66.7%,0.0%,0.0%,0.0%,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,5
Overall Satisfaction with BioNJ Programs and Services,Very Satisfied,36.7%,66.7%,43.3%,70.0%,33.3%,83.3%,73.3%,23.3%,30.0%,43.3%,80.0%,3.3%,43
,Satisfied,41.9%,54.8%,35.5%,54.8%,22.6%,85.5%,69.4%,6.5%,30.6%,17.7%,75.8%,1.6%,89
,Neutral,41.7%,33.3%,8.3%,50.0%,8.3%,58.3%,75.0%,8.3%,0.0%,0.0%,75.0%,0.0%,15
,Not Satisfied/ Not Satisfied At All,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,0.0%,0.0%,0.0%,33.3%,0.0%,6
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Q7 Level of familiarity with services that BioNJ provides members (non-member),,,,,,,,,,,,,,
,Very Familiar,Familiar,Neutral,Not Familiar,Not Familiar At All,,,,,,,,,
Legislative support at the federal level,22.7%,27.3%,13.6%,27.3%,9.1%,,,,,,,,,
Legislative support at the state level,22.7%,40.9%,4.5%,22.7%,9.1%,,,,,,,,,
A presence for all members on the BioNJ Web site with a direct link to member company home page,14.3%,33.3%,23.8%,9.5%,19.0%,,,,,,,,,
Free job postings on BioNJ Web site,4.5%,36.4%,13.6%,22.7%,22.7%,,,,,,,,,
Networking through active BioNJ committees and roundtables,28.6%,47.6%,4.8%,9.5%,9.5%,,,,,,,,,
Opportunities to sponsor BioNJ events,33.3%,42.9%,4.8%,4.8%,14.3%,,,,,,,,,
Active roundtables for professional development,9.1%,45.5%,31.8%,4.5%,9.1%,,,,,,,,,
Member discount pricing at programs and events,9.1%,50.0%,18.2%,4.5%,18.2%,,,,,,,,,
Bottom-line cost savings through the contracts & services consortium,4.5%,27.3%,13.6%,36.4%,18.2%,,,,,,,,,
E-letter featuring BioNJ biotechnology company member news and news on timely industry topics,13.6%,36.4%,18.2%,13.6%,18.2%,,,,,,,,,
Life Sciences Talent Network at BioNJ,9.1%,9.1%,45.5%,22.7%,13.6%,,,,,,,,,
"Industry surveys, e.g. benchmarking, economic impacts, etc",4.5%,27.3%,40.9%,13.6%,13.6%,,,,,,,,,
,,,,,,,,,,,,,,
Q7a Familiarity with Legislative support at the federal level (non-member),,,,,,,,,,,,,,
,,Legislative support at the federal level,,,,,Total,,,,,,,
,,Very Familiar,Familiar,Neutral,Not Familiar,Not Familiar At All,Count,,,,,,,
All Respondents,_____________   _____________,22.7%,27.3%,13.6%,27.3%,9.1%,22,,,,,,,
Organization Type,Biotechnology/ Life Science R&D,0.0%,25.0%,37.5%,25.0%,12.5%,8,,,,,,,
,Biotechnology/ Life Science Service,28.6%,28.6%,0.0%,42.9%,0.0%,7,,,,,,,
,Other,50.0%,33.3%,0.0%,0.0%,16.7%,6,,,,,,,
Position,CEO/CFO,25.0%,16.7%,25.0%,33.3%,0.0%,12,,,,,,,
,"Reg/Mktg,Pub Policy/Comm, HR, Legal",25.0%,25.0%,0.0%,0.0%,50.0%,4,,,,,,,
,Service Provider,0.0%,0.0%,0.0%,100.0%,0.0%,1,,,,,,,
,Business Dev Director,50.0%,50.0%,0.0%,0.0%,0.0%,2,,,,,,,
,Other/Research,0.0%,100.0%,0.0%,0.0%,0.0%,2,,,,,,,
NJ Employees,Less than 10,37.5%,25.0%,0.0%,25.0%,12.5%,8,,,,,,,
,10 - 49,20.0%,20.0%,60.0%,0.0%,0.0%,5,,,,,,,
,50 or More,25.0%,50.0%,0.0%,25.0%,0.0%,4,,,,,,,
BioNJ Membership,Former member,27.3%,36.4%,9.1%,27.3%,0.0%,11,,,,,,,
,Never member,18.2%,18.2%,18.2%,27.3%,18.2%,11,,,,,,,
Decision to join organizations like BioNJ,Primary responsibility,20.0%,10.0%,30.0%,40.0%,0.0%,10,,,,,,,
,Some responsibility,22.2%,44.4%,0.0%,22.2%,11.1%,9,,,,,,,
,No responsibility,33.3%,33.3%,0.0%,0.0%,33.3%,3,,,,,,,
,,,,,,,,,,,,,,
Q7b Familiarity with Legislative support at the state level (non-member),,,,,,,,,,,,,,
,,Legislative support at the state level,,,,,Total,,,,,,,
,,Very Familiar,Familiar,Neutral,Not Familiar,Not Familiar At All,Count,,,,,,,
All Respondents,_____________   _____________,22.7%,40.9%,4.5%,22.7%,9.1%,22,,,,,,,
Organization Type,Biotechnology/ Life Science R&D,0.0%,62.5%,12.5%,12.5%,12.5%,8,,,,,,,
,Biotechnology/ Life Science Service,28.6%,28.6%,0.0%,42.9%,0.0%,7,,,,,,,
,Other,50.0%,33.3%,0.0%,0.0%,16.7%,6,,,,,,,
Position,CEO/CFO,25.0%,41.7%,8.3%,25.0%,0.0%,12,,,,,,,
,"Reg/Mktg,Pub Policy/Comm, HR, Legal",25.0%,25.0%,0.0%,0.0%,50.0%,4,,,,,,,
,Service Provider,0.0%,0.0%,0.0%,100.0%,0.0%,1,,,,,,,
,Business Dev Director,50.0%,50.0%,0.0%,0.0%,0.0%,2,,,,,,,
,Other/Research,0.0%,100.0%,0.0%,0.0%,0.0%,2,,,,,,,
NJ Employees,Less than 10,37.5%,25.0%,0.0%,25.0%,12.5%,8,,,,,,,
,10 - 49,20.0%,80.0%,0.0%,0.0%,0.0%,5,,,,,,,
,50 or More,25.0%,50.0%,0.0%,25.0%,0.0%,4,,,,,,,
BioNJ Membership,Former member,27.3%,45.5%,9.1%,18.2%,0.0%,11,,,,,,,
,Never member,18.2%,36.4%,0.0%,27.3%,18.2%,11,,,,,,,
Decision to join organizations like BioNJ,Primary responsibility,20.0%,40.0%,10.0%,30.0%,0.0%,10,,,,,,,
,Some responsibility,22.2%,44.4%,0.0%,22.2%,11.1%,9,,,,,,,
,No responsibility,33.3%,33.3%,0.0%,0.0%,33.3%,3,,,,,,,
,,,,,,,,,,,,,,
Q7c Familiarity with A presence for all members on the BioNJ Web site with a direct link to member company home page (non-member),,,,,,,,,,,,,,
,,A presence for all members on the BioNJ Web site with a direct link to member company home page,,,,,Total,,,,,,,
,,Very Familiar,Familiar,Neutral,Not Familiar,Not Familiar At All,Count,,,,,,,
All Respondents,_____________   _____________,14.3%,33.3%,23.8%,9.5%,19.0%,21,,,,,,,
Organization Type,Biotechnology/ Life Science R&D,0.0%,25.0%,25.0%,12.5%,37.5%,8,,,,,,,
,Biotechnology/ Life Science Service,0.0%,33.3%,50.0%,16.7%,0.0%,6,,,,,,,
,Other,50.0%,33.3%,0.0%,0.0%,16.7%,6,,,,,,,
Position,CEO/CFO,8.3%,33.3%,25.0%,16.7%,16.7%,12,,,,,,,
,"Reg/Mktg,Pub Policy/Comm, HR, Legal",0.0%,25.0%,25.0%,0.0%,50.0%,4,,,,,,,
,Business Dev Director,50.0%,50.0%,0.0%,0.0%,0.0%,2,,,,,,,
,Other/Research,50.0%,0.0%,50.0%,0.0%,0.0%,2,,,,,,,
NJ Employees,Less than 10,25.0%,25.0%,12.5%,12.5%,25.0%,8,,,,,,,
,10 - 49,20.0%,40.0%,40.0%,0.0%,0.0%,5,,,,,,,
,50 or More,0.0%,25.0%,50.0%,0.0%,25.0%,4,,,,,,,
BioNJ Membership,Former member,18.2%,45.5%,18.2%,18.2%,0.0%,11,,,,,,,
,Never member,10.0%,20.0%,30.0%,0.0%,40.0%,10,,,,,,,
Decision to join organizations like BioNJ,Primary responsibility,10.0%,40.0%,20.0%,20.0%,10.0%,10,,,,,,,
,Some responsibility,12.5%,25.0%,37.5%,0.0%,25.0%,8,,,,,,,
,No responsibility,33.3%,33.3%,0.0%,0.0%,33.3%,3,,,,,,,
,,,,,,,,,,,,,,
Q7d Familiarity with Free job postings on BioNJ Web site (non-member),,,,,,,,,,,,,,
,,Free job postings on BioNJ Web site,,,,,Total,,,,,,,
,,Very Familiar,Familiar,Neutral,Not Familiar,Not Familiar At All,Count,,,,,,,
All Respondents,_____________   _____________,4.5%,36.4%,13.6%,22.7%,22.7%,22,,,,,,,
Organization Type,Biotechnology/ Life Science R&D,0.0%,12.5%,0.0%,50.0%,37.5%,8,,,,,,,
,Biotechnology/ Life Science Service,0.0%,28.6%,42.9%,14.3%,14.3%,7,,,,,,,
,Other,16.7%,66.7%,0.0%,0.0%,16.7%,6,,,,,,,
Position,CEO/CFO,8.3%,25.0%,8.3%,41.7%,16.7%,12,,,,,,,
,"Reg/Mktg,Pub Policy/Comm, HR, Legal",0.0%,0.0%,25.0%,0.0%,75.0%,4,,,,,,,
,Service Provider,0.0%,100.0%,0.0%,0.0%,0.0%,1,,,,,,,
,Business Dev Director,0.0%,100.0%,0.0%,0.0%,0.0%,2,,,,,,,
,Other/Research,0.0%,50.0%,50.0%,0.0%,0.0%,2,,,,,,,
NJ Employees,Less than 10,0.0%,50.0%,12.5%,25.0%,12.5%,8,,,,,,,
,10 - 49,20.0%,20.0%,0.0%,40.0%,20.0%,5,,,,,,,
,50 or More,0.0%,25.0%,50.0%,0.0%,25.0%,4,,,,,,,
BioNJ Membership,Former member,9.1%,54.5%,9.1%,27.3%,0.0%,11,,,,,,,
,Never member,0.0%,18.2%,18.2%,18.2%,45.5%,11,,,,,,,
Decision to join organizations like BioNJ,Primary responsibility,0.0%,40.0%,0.0%,50.0%,10.0%,10,,,,,,,
,Some responsibility,11.1%,33.3%,33.3%,0.0%,22.2%,9,,,,,,,
,No responsibility,0.0%,33.3%,0.0%,0.0%,66.7%,3,,,,,,,
,,,,,,,,,,,,,,
Q7e Familiarity with Networking through active BioNJ committees and roundtables (non-member),,,,,,,,,,,,,,
,,Networking through active BioNJ committees and roundtables,,,,,Total,,,,,,,
,,Very Familiar,Familiar,Neutral,Not Familiar,Not Familiar At All,Count,,,,,,,
All Respondents,_____________   _____________,28.6%,47.6%,4.8%,9.5%,9.5%,21,,,,,,,
Organization Type,Biotechnology/ Life Science R&D,0.0%,62.5%,12.5%,0.0%,25.0%,8,,,,,,,
,Biotechnology/ Life Science Service,33.3%,33.3%,0.0%,33.3%,0.0%,6,,,,,,,
,Other,50.0%,50.0%,0.0%,0.0%,0.0%,6,,,,,,,
Position,CEO/CFO,16.7%,50.0%,8.3%,16.7%,8.3%,12,,,,,,,
,"Reg/Mktg,Pub Policy/Comm, HR, Legal",25.0%,50.0%,0.0%,0.0%,25.0%,4,,,,,,,
,Business Dev Director,50.0%,50.0%,0.0%,0.0%,0.0%,2,,,,,,,
,Other/Research,50.0%,50.0%,0.0%,0.0%,0.0%,2,,,,,,,
NJ Employees,Less than 10,25.0%,50.0%,0.0%,12.5%,12.5%,8,,,,,,,
,10 - 49,20.0%,60.0%,20.0%,0.0%,0.0%,5,,,,,,,
,50 or More,25.0%,50.0%,0.0%,25.0%,0.0%,4,,,,,,,
BioNJ Membership,Former member,36.4%,54.5%,0.0%,9.1%,0.0%,11,,,,,,,
,Never member,20.0%,40.0%,10.0%,10.0%,20.0%,10,,,,,,,
Decision to join organizations like BioNJ,Primary responsibility,20.0%,50.0%,10.0%,10.0%,10.0%,10,,,,,,,
,Some responsibility,25.0%,50.0%,0.0%,12.5%,12.5%,8,,,,,,,
,No responsibility,66.7%,33.3%,0.0%,0.0%,0.0%,3,,,,,,,
,,,,,,,,,,,,,,
Q7f Familiarity with Opportunities to sponsor BioNJ events (non-member),,,,,,,,,,,,,,
,,Opportunities to sponsor BioNJ events,,,,,Total,,,,,,,
,,Very Familiar,Familiar,Neutral,Not Familiar,Not Familiar At All,Count,,,,,,,
All Respondents,_____________   _____________,33.3%,42.9%,4.8%,4.8%,14.3%,21,,,,,,,
Organization Type,Biotechnology/ Life Science R&D,12.5%,37.5%,12.5%,0.0%,37.5%,8,,,,,,,
,Biotechnology/ Life Science Service,33.3%,50.0%,0.0%,16.7%,0.0%,6,,,,,,,
,Other,66.7%,33.3%,0.0%,0.0%,0.0%,6,,,,,,,
Position,CEO/CFO,25.0%,41.7%,8.3%,8.3%,16.7%,12,,,,,,,
,"Reg/Mktg,Pub Policy/Comm, HR, Legal",25.0%,50.0%,0.0%,0.0%,25.0%,4,,,,,,,
,Business Dev Director,50.0%,50.0%,0.0%,0.0%,0.0%,2,,,,,,,
,Other/Research,100.0%,0.0%,0.0%,0.0%,0.0%,2,,,,,,,
NJ Employees,Less than 10,37.5%,50.0%,0.0%,0.0%,12.5%,8,,,,,,,
,10 - 49,40.0%,60.0%,0.0%,0.0%,0.0%,5,,,,,,,
,50 or More,25.0%,25.0%,0.0%,25.0%,25.0%,4,,,,,,,
BioNJ Membership,Former member,36.4%,54.5%,9.1%,0.0%,0.0%,11,,,,,,,
,Never member,30.0%,30.0%,0.0%,10.0%,30.0%,10,,,,,,,
Decision to join organizations like BioNJ,Primary responsibility,30.0%,50.0%,10.0%,0.0%,10.0%,10,,,,,,,
,Some responsibility,25.0%,37.5%,0.0%,12.5%,25.0%,8,,,,,,,
,No responsibility,66.7%,33.3%,0.0%,0.0%,0.0%,3,,,,,,,
,,,,,,,,,,,,,,
Q7g Familiarity with Active roundtables for professional development (non-member),,,,,,,,,,,,,,
,,Active roundtables for professional development,,,,,Total,,,,,,,
,,Very Familiar,Familiar,Neutral,Not Familiar,Not Familiar At All,Count,,,,,,,
All Respondents,_____________   _____________,9.1%,45.5%,31.8%,4.5%,9.1%,22,,,,,,,
Organization Type,Biotechnology/ Life Science R&D,0.0%,12.5%,62.5%,0.0%,25.0%,8,,,,,,,
,Biotechnology/ Life Science Service,0.0%,57.1%,28.6%,14.3%,0.0%,7,,,,,,,
,Other,33.3%,66.7%,0.0%,0.0%,0.0%,6,,,,,,,
Position,CEO/CFO,16.7%,16.7%,50.0%,8.3%,8.3%,12,,,,,,,
,"Reg/Mktg,Pub Policy/Comm, HR, Legal",0.0%,50.0%,25.0%,0.0%,25.0%,4,,,,,,,
,Service Provider,0.0%,100.0%,0.0%,0.0%,0.0%,1,,,,,,,
,Business Dev Director,0.0%,100.0%,0.0%,0.0%,0.0%,2,,,,,,,
,Other/Research,0.0%,100.0%,0.0%,0.0%,0.0%,2,,,,,,,
NJ Employees,Less than 10,12.5%,62.5%,25.0%,0.0%,0.0%,8,,,,,,,
,10 - 49,20.0%,20.0%,60.0%,0.0%,0.0%,5,,,,,,,
,50 or More,0.0%,50.0%,0.0%,25.0%,25.0%,4,,,,,,,
BioNJ Membership,Former member,18.2%,54.5%,27.3%,0.0%,0.0%,11,,,,,,,
,Never member,0.0%,36.4%,36.4%,9.1%,18.2%,11,,,,,,,
Decision to join organizations like BioNJ,Primary responsibility,10.0%,30.0%,60.0%,0.0%,0.0%,10,,,,,,,
,Some responsibility,11.1%,55.6%,0.0%,11.1%,22.2%,9,,,,,,,
,No responsibility,0.0%,66.7%,33.3%,0.0%,0.0%,3,,,,,,,
,,,,,,,,,,,,,,
Q7h Familiarity with Member discount pricing at programs and events (non-member),,,,,,,,,,,,,,
,,Member discount pricing at programs and events,,,,,Total,,,,,,,
,,Very Familiar,Familiar,Neutral,Not Familiar,Not Familiar At All,Count,,,,,,,
All Respondents,_____________   _____________,9.1%,50.0%,18.2%,4.5%,18.2%,22,,,,,,,
Organization Type,Biotechnology/ Life Science R&D,12.5%,12.5%,37.5%,0.0%,37.5%,8,,,,,,,
,Biotechnology/ Life Science Service,0.0%,85.7%,0.0%,14.3%,0.0%,7,,,,,,,
,Other,16.7%,50.0%,16.7%,0.0%,16.7%,6,,,,,,,
Position,CEO/CFO,16.7%,33.3%,25.0%,8.3%,16.7%,12,,,,,,,
,"Reg/Mktg,Pub Policy/Comm, HR, Legal",0.0%,50.0%,0.0%,0.0%,50.0%,4,,,,,,,
,Service Provider,0.0%,100.0%,0.0%,0.0%,0.0%,1,,,,,,,
,Business Dev Director,0.0%,100.0%,0.0%,0.0%,0.0%,2,,,,,,,
,Other/Research,0.0%,50.0%,50.0%,0.0%,0.0%,2,,,,,,,
NJ Employees,Less than 10,0.0%,62.5%,12.5%,0.0%,25.0%,8,,,,,,,
,10 - 49,40.0%,20.0%,40.0%,0.0%,0.0%,5,,,,,,,
,50 or More,0.0%,50.0%,0.0%,25.0%,25.0%,4,,,,,,,
BioNJ Membership,Former member,9.1%,63.6%,27.3%,0.0%,0.0%,11,,,,,,,
,Never member,9.1%,36.4%,9.1%,9.1%,36.4%,11,,,,,,,
Decision to join organizations like BioNJ,Primary responsibility,10.0%,40.0%,40.0%,0.0%,10.0%,10,,,,,,,
,Some responsibility,11.1%,55.6%,0.0%,11.1%,22.2%,9,,,,,,,
,No responsibility,0.0%,66.7%,0.0%,0.0%,33.3%,3,,,,,,,
,,,,,,,,,,,,,,
Q7i Familiarity with Bottom-line cost savings through the contracts & services consortium (non-member),,,,,,,,,,,,,,
,,Bottom-line cost savings through the contracts & services consortium,,,,,Total,,,,,,,
,,Very Familiar,Familiar,Neutral,Not Familiar,Not Familiar At All,Count,,,,,,,
All Respondents,_____________   _____________,4.5%,27.3%,13.6%,36.4%,18.2%,22,,,,,,,
Organization Type,Biotechnology/ Life Science R&D,0.0%,12.5%,12.5%,37.5%,37.5%,8,,,,,,,
,Biotechnology/ Life Science Service,0.0%,14.3%,14.3%,71.4%,0.0%,7,,,,,,,
,Other,16.7%,50.0%,16.7%,0.0%,16.7%,6,,,,,,,
Position,CEO/CFO,8.3%,16.7%,8.3%,50.0%,16.7%,12,,,,,,,
,"Reg/Mktg,Pub Policy/Comm, HR, Legal",0.0%,25.0%,0.0%,25.0%,50.0%,4,,,,,,,
,Service Provider,0.0%,0.0%,0.0%,100.0%,0.0%,1,,,,,,,
,Business Dev Director,0.0%,50.0%,50.0%,0.0%,0.0%,2,,,,,,,
,Other/Research,0.0%,50.0%,50.0%,0.0%,0.0%,2,,,,,,,
NJ Employees,Less than 10,0.0%,37.5%,25.0%,12.5%,25.0%,8,,,,,,,
,10 - 49,20.0%,40.0%,0.0%,40.0%,0.0%,5,,,,,,,
,50 or More,0.0%,0.0%,25.0%,50.0%,25.0%,4,,,,,,,
BioNJ Membership,Former member,9.1%,36.4%,18.2%,36.4%,0.0%,11,,,,,,,
,Never member,0.0%,18.2%,9.1%,36.4%,36.4%,11,,,,,,,
Decision to join organizations like BioNJ,Primary responsibility,0.0%,40.0%,0.0%,50.0%,10.0%,10,,,,,,,
,Some responsibility,11.1%,22.2%,22.2%,22.2%,22.2%,9,,,,,,,
,No responsibility,0.0%,0.0%,33.3%,33.3%,33.3%,3,,,,,,,
,,,,,,,,,,,,,,
Q7j Familiarity with E-letter featuring BioNJ biotechnology company member news and news on timely industry topics (non-member),,,,,,,,,,,,,,
,,E-letter featuring BioNJ biotechnology company member news and news on timely industry topics,,,,,Total,,,,,,,
